Date,Open,High,Low,Close,Volume,Market Cap
2021-01-01 0:00:00,0.176706872,0.195501496,0.173795849,0.177809486,146142205.49157900,1704517944.205780
2021-01-02 0:00:00,0.177159716,0.178525139,0.166749025,0.169227774,137978863.5107560,1624496891.2419400
2021-01-03 0:00:00,0.169227774,0.179677919,0.147850412,0.15145172,130340715.86609400,1569647307.3166000
2021-01-04 0:00:00,0.151880709,0.169202443,0.150234454,0.158112772,177281229.9637980,1502875093.6699700
2021-01-05 0:00:00,0.158792599,0.167933041,0.150118737,0.154671424,130147387.613117,1462581303.353820
2021-01-06 0:00:00,0.154671424,0.159577495,0.135685776,0.14577988,132255757.38129500,1401876006.0752300
2021-01-07 0:00:00,0.14539707,0.168519377,0.122030321,0.15519525,189687995.3939780,1353603997.2606200
2021-01-08 0:00:00,0.15426553,0.175172636,0.153814482,0.160935415,312953507.0830200,1530584715.3964200
2021-01-09 0:00:00,0.160908867,0.167839714,0.154606623,0.158160806,121729141.86421400,1486183698.6450200
2021-01-10 0:00:00,0.157332838,0.159969121,0.147277274,0.150097662,91712960.17492650,1441686083.9425800
2021-01-11 0:00:00,0.150058713,0.154353578,0.143289591,0.14358115,80987198.32680920,1386961850.0863600
2021-01-12 0:00:00,0.142448818,0.149302294,0.137255789,0.148551235,87458379.55515960,1340655158.4208600
2021-01-13 0:00:00,0.14923605,0.163423053,0.14423604,0.147660888,159013263.6892780,1423039946.953090
2021-01-14 0:00:00,0.147283306,0.15234228,0.140528525,0.147848389,109380213.49993800,1358984040.2714800
2021-01-15 0:00:00,0.149881201,0.16340585,0.146465366,0.153786971,117433512.49150400,1448041413.9445000
2021-01-16 0:00:00,0.153934297,0.154502589,0.136963598,0.142102737,133298493.9025660,1359774516.9811000
2021-01-17 0:00:00,0.141438439,0.154783086,0.141438439,0.143802534,147479953.17885200,1388653210.978690
2021-01-18 0:00:00,0.143358471,0.144685137,0.104652141,0.127694453,134985946.83618100,1184717441.5279900
2021-01-19 0:00:00,0.128668534,0.138234744,0.113049861,0.11610528,116601704.79453900,1190424843.783340
2021-01-20 0:00:00,0.116058981,0.124827781,0.106040059,0.119333492,110637019.71297800,1091772578.5157600
2021-01-21 0:00:00,0.119367786,0.123812458,0.113431776,0.11581627,85440464.51861060,1120836900.441910
2021-01-22 0:00:00,0.115468651,0.124623068,0.102088693,0.104875935,70509341.95615070,1087715188.7115600
2021-01-23 0:00:00,0.104374422,0.107250532,0.075448289,0.105252982,111950088.5469220,902717338.562767
2021-01-24 0:00:00,0.106234403,0.108270621,0.096778737,0.099191431,77592387.2581932,953536201.3833580
2021-01-25 0:00:00,0.09955691,0.105356333,0.088579249,0.095048976,32431956.309529900,938962286.1545870
2021-01-26 0:00:00,0.095587273,0.147422557,0.095251702,0.136644667,134178970.93382800,1188843788.7054900
2021-01-27 0:00:00,0.136329659,0.15063297,0.132900674,0.141126345,219393029.16505700,1334297161.9590500
